layerid;datefrom;dateto;datatype;datavalue
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;F1;304.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;F2;4039.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;F3;3268.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;F4;3900.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;F5;4727.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;F6;9563.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;Gf;12556.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;Gm;13244.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;Ns;851.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;Ni;31372.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;P;32222.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;PH;32222.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;Tb;5572.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;Tc;25800.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;Ve;985.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;Vi;2939.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;Vp;768.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;Vr;26680.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 03:00:00;2021-06-11 04:00:00;Vs;851.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;F1;303.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;F2;4210.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;F3;3381.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;F4;4009.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;F5;4834.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;F6;9644.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;Gf;12785.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;Gm;13597.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;Ns;886.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;Ni;32193.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;P;33077.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;PH;33077.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;Tb;5812.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;Tc;26381.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;Ve;1011.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;Vi;3888.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;Vp;884.0
8597bcee-3925-4c86-a120-9f3a54781a81;2021-06-11 02:00:00;2021-06-11 03:00:00;Vr;26410.0
