layerid;datefrom;dateto;datatype;datavalue
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;F1;256.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;F2;4182.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;F3;3533.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;F4;4965.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;F5;5725.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;F6;9866.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;Gf;13972.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;Gm;14555.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;Ns;509.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;Ni;33896.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;P;34404.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;PH;34404.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;Tb;5369.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;Tc;28527.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;Ve;779.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;Vi;9016.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;Vp;4138.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;Vr;19963.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 09:00:00;2020-06-11 10:00:00;Vs;509.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 08:00:00;2020-06-11 09:00:00;F1;251.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 08:00:00;2020-06-11 09:00:00;F2;4172.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 08:00:00;2020-06-11 09:00:00;F3;3499.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 08:00:00;2020-06-11 09:00:00;F4;4877.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 08:00:00;2020-06-11 09:00:00;F5;5638.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 08:00:00;2020-06-11 09:00:00;F6;9666.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 08:00:00;2020-06-11 09:00:00;Gf;13777.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 08:00:00;2020-06-11 09:00:00;Gm;14325.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 08:00:00;2020-06-11 09:00:00;Ns;495.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 08:00:00;2020-06-11 09:00:00;Ni;33536.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 08:00:00;2020-06-11 09:00:00;P;34031.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-06-11 08:00:00;2020-06-11 09:00:00;PH;34031.0
