layerid;datefrom;dateto;datatype;datavalue
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;F1;244.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;F2;4402.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;F3;3529.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;F4;4271.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;F5;4912.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;F6;10128.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;Gf;13327.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;Gm;14160.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;Ns;519.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;Ni;32704.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;P;33222.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;PH;33222.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;Tb;5217.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;Tc;27486.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;Ve;450.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;Vi;4364.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;Vp;980.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;Vr;26910.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 21:00:00;2020-05-28 22:00:00;Vs;519.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;F1;250.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;F2;4383.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;F3;3566.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;F4;4317.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;F5;4930.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;F6;10177.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;Gf;13322.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;Gm;14301.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;Ns;520.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;Ni;32967.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;P;33487.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;PH;33487.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;Tb;5344.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;Tc;27623.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;Ve;457.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;Vi;4978.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;Vp;1088.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;Vr;26445.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 20:00:00;2020-05-28 21:00:00;Vs;520.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;F1;249.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;F2;4359.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;F3;3554.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;F4;4325.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;F5;4965.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;F6;10218.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;Gf;13296.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;Gm;14374.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;Ns;533.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;Ni;33008.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;P;33540.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;PH;33540.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;Tb;5338.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;Tc;27670.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;Ve;452.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;Vi;5356.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;Vp;1219.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;Vr;25981.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 19:00:00;2020-05-28 20:00:00;Vs;533.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;F1;254.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;F2;4341.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;F3;3559.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;F4;4321.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;F5;5004.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;F6;10224.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;Gf;13313.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;Gm;14389.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;Ns;543.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;Ni;32945.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;P;33487.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;PH;33487.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;Tb;5242.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;Tc;27702.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;Ve;421.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;Vi;5662.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;Vp;1393.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;Vr;25469.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 18:00:00;2020-05-28 19:00:00;Vs;543.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 17:00:00;2020-05-28 18:00:00;F1;249.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 17:00:00;2020-05-28 18:00:00;F2;4225.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 17:00:00;2020-05-28 18:00:00;F3;3596.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 17:00:00;2020-05-28 18:00:00;F4;4446.0
8597bcee-3925-4c86-a120-9f3a54781a81;2020-05-28 17:00:00;2020-05-28 18:00:00;F5;5136.0
